Id,Predicted
1,2021
2,9625
3,8043
4,8974
5,8297
6,5111
7,2369
8,4710
9,7672
10,6963
11,2134
12,1624
13,4468
14,1800
15,8663
16,7216
17,8860
18,6785
19,7806
20,8591
21,4147
22,8300
23,7647
24,8704
25,9030
26,9509
27,4018
28,8739
29,4037
30,4849
31,2066
32,7199
33,9672
34,4751
35,1411
36,3383
37,2170
38,510
39,9218
40,2195
41,2550
42,9268
43,2954
44,9775
45,762
46,7600
47,9902
48,6066
49,4949
50,2967
51,4411
52,1420
53,6501
54,2324
55,4637
56,5242
57,374
58,9912
59,4974
60,3602
61,6937
62,6291
63,8858
64,5496
65,3019
66,5848
67,4986
68,6066
69,5273
70,2136
71,7814
72,1567
73,6898
74,4493
75,4774
76,3646
77,4287
78,4572
79,2985
80,9758
81,4925
82,4014
83,533
84,7683
85,4859
86,1977
87,8930
88,8546
89,4699
90,4342
91,713
92,668
93,8416
94,6435
95,5685
96,1769
97,9353
98,4901
99,1869
100,6958
101,9815
102,7243
103,8381
104,6004
105,8722
106,7172
107,450
108,5396
109,7505
110,7435
111,4446
112,4257
113,5588
114,4685
115,2202
116,266
117,6451
118,8429
119,5536
120,617
121,6487
122,8308
123,8704
124,5755
125,8268
126,2735
127,6937
128,3912
129,9816
130,3172
131,403
132,6346
133,3464
134,3450
135,6784
136,7435
137,1663
138,13
139,8067
140,8654
141,4027
142,1392
143,591
144,256
145,4645
146,2136
147,5004
148,5561
149,3984
150,1411
151,2669
152,1689
153,9885
154,5057
155,6368
156,5174
157,438
158,3066
159,2959
160,1416
161,7919
162,7861
163,4221
164,2362
165,198
166,8227
167,5146
168,460
169,9186
170,3505
171,2851
172,115
173,1568
174,9784
175,157
176,4952
177,1678
178,9835
179,7795
180,6135
181,3344
182,5882
183,4010
184,9820
185,8897
186,222
187,2109
188,6100
189,6026
190,6347
191,1697
192,9505
193,8722
194,9842
195,6340
196,5596
197,7077
198,7448
199,9423
200,4806
201,1568
202,8839
203,9083
204,9721
205,2279
206,7381
207,7734
208,9169
209,7226
210,1613
211,938
212,7952
213,8019
214,9739
215,7146
216,5369
217,3844
218,7781
219,5726
220,1131
221,2261
222,27
223,6489
224,4165
225,5246
226,1256
227,4670
228,5993
229,5113
230,7984
231,2510
232,6064
233,7935
234,9123
235,9721
236,8381
237,4037
238,2645
239,3661
240,611
241,4570
242,6280
243,296
244,2067
245,9858
246,4641
247,5899
248,8268
249,7362
250,3119
251,3272
252,9554
253,3903
254,2341
255,6469
256,49
257,4480
258,168
259,5531
260,6692
261,647
262,6763
263,6599
264,9774
265,8673
266,5140
267,409
268,2743
269,6882
270,9672
271,6183
272,26
273,3366
274,5823
275,1832
276,4181
277,5248
278,6792
279,451
280,1711
281,5726
282,7949
283,1387
284,568
285,7172
286,8122
287,5930
288,4099
289,6383
290,933
291,1184
292,7613
293,2686
294,1932
295,953
296,4907
297,4882
298,5140
299,25
300,2294
301,9904
302,1976
303,2669
304,821
305,7957
306,5668
307,7209
308,8750
309,6563
310,2147
311,6006
312,1245
313,7482
314,409
315,8571
316,6624
317,250
318,5588
319,8261
320,5152
321,7070
322,985
323,4742
324,4570
325,5945
326,4314
327,8203
328,1051
329,1830
330,1597
331,4641
332,3220
333,7254
334,7894
335,5232
336,908
337,4641
338,503
339,8962
340,3450
341,2986
342,7126
343,3988
344,5589
345,3017
346,4458
347,8365
348,1312
349,8694
350,1821
