Id,Predicted
1,2021
2,7772
3,6492
4,56
5,8297
6,8423
7,3453
8,2325
9,476
10,4637
11,640
12,1624
13,6045
14,6759
15,5565
16,6073
17,977
18,4006
19,7806
20,8872
21,3676
22,8995
23,7647
24,8704
25,1057
26,2768
27,8992
28,8739
29,8541
30,8729
31,2283
32,2847
33,9704
34,9851
35,7487
36,151
37,2170
38,1561
39,9218
40,1417
41,5393
42,6841
43,8683
44,2989
45,6156
46,5597
47,7225
48,1360
49,3232
50,8329
51,6500
52,1420
53,3085
54,8517
55,2848
56,4597
57,6455
58,6040
59,3934
60,8274
61,3796
62,6024
63,6938
64,249
65,8320
66,2299
67,4986
68,3701
69,1509
70,2136
71,1663
72,4578
73,6898
74,3629
75,4785
76,2863
77,7107
78,8151
79,5502
80,9887
81,4925
82,267
83,2919
84,2780
85,7222
86,4771
87,8930
88,4949
89,7868
90,3790
91,9956
92,743
93,5073
94,2586
95,1485
96,1769
97,9353
98,2439
99,5286
100,6958
101,151
102,8035
103,4383
104,6607
105,6193
106,1935
107,450
108,5396
109,7505
110,2168
111,9882
112,7831
113,5588
114,1736
115,1360
116,8109
117,8358
118,8429
119,3417
120,360
121,3063
122,4995
123,8704
124,8287
125,618
126,5891
127,7778
128,3912
129,5519
130,3602
131,3312
132,2339
133,3616
134,1687
135,3116
136,7177
137,8677
138,7222
139,793
140,8654
141,4027
142,2549
143,5242
144,256
145,9398
146,2136
147,9382
148,3716
149,4563
150,5614
151,2426
152,2673
153,6455
154,3272
155,2996
156,5208
157,3073
158,3066
159,9666
160,4371
161,5524
162,4984
163,1381
164,7991
165,198
166,1931
167,7985
168,1440
169,6102
170,3505
171,9513
172,4379
173,2341
174,4644
175,4267
176,9480
177,7939
178,5765
179,7736
180,6135
181,6700
182,8344
183,5533
184,4673
185,8897
186,2174
187,4901
188,5646
189,7805
190,122
191,4184
192,2205
193,8599
194,1626
195,2876
196,8062
197,2524
198,9981
199,9148
200,7788
201,8853
202,1698
203,673
204,8468
205,3768
206,1336
207,6931
208,6030
209,1332
210,1613
211,5713
212,7952
213,8019
214,4361
215,6119
216,7565
217,5747
218,6523
219,5459
220,6802
221,4426
222,6627
223,7119
224,1516
225,5246
226,5795
227,4612
228,5993
229,5061
230,3929
231,4985
232,8901
233,8337
234,6324
235,2717
236,2665
237,5074
238,1197
239,7030
240,2590
241,4242
242,2688
243,9493
244,3729
245,1973
246,4641
247,3417
248,3007
249,7743
250,1831
251,8790
252,8967
253,5469
254,2341
255,2591
256,1112
257,9375
258,7952
259,3450
260,9074
261,4365
262,6763
263,1679
264,2668
265,7797
266,4566
267,7690
268,2886
269,6882
270,482
271,6183
272,1161
273,3366
274,285
275,2809
276,8643
277,500
278,6135
279,9329
280,4412
281,1606
282,7949
283,1387
284,1256
285,3429
286,1112
287,5930
288,5900
289,8299
290,933
291,1184
292,7613
293,2686
294,2008
295,1516
296,1747
297,9653
298,4485
299,1838
300,2102
301,9904
302,8900
303,6681
304,6288
305,7957
306,7157
307,9806
308,1241
309,104
310,7633
311,6006
312,1052
313,7438
314,5061
315,1291
316,214
317,2966
318,5588
319,5576
320,9578
321,4977
322,985
323,7819
324,4872
325,3988
326,2504
327,4069
328,4165
329,3451
330,4427
331,5406
332,8878
333,7254
334,7894
335,4658
336,7996
337,2621
338,4667
339,2068
340,1973
341,2986
342,1230
343,4996
344,7943
345,3017
346,1482
347,5349
348,2569
349,7775
350,8236
351,6841
352,5965
353,6774
354,5610
355,1758
356,5942
357,4004
358,6835
359,7134
360,137
361,6826
362,9592
363,3792
364,3758
365,8830
366,1901
367,2000
368,9312
369,1733
370,9634
371,5877
372,4761
373,5258
374,3706
375,8176
376,628
377,9614
378,380
379,3933
380,4321
381,3003
382,358
383,6943
384,4850
385,1175
386,3997
387,4300
388,4630
389,6546
390,5333
391,2280
392,9928
393,6412
394,1090
395,1307
396,4304
397,9072
398,9652
399,4486
400,1883
401,292
402,2873
403,2585
404,7703
405,1240
406,6187
407,9889
408,5689
409,7151
410,1669
411,3374
412,2310
413,7886
414,5333
415,1200
416,94
417,7832
418,7650
419,2593
420,7639
421,7070
422,934
423,9759
424,7254
425,5356
426,8811
427,4716
428,2818
429,3335
430,7566
431,7572
432,6955
433,1873
434,3049
435,3951
